FirstPerson,InnerThinking,ThinkPositive,ThinkNegative,ThinkAhead,ThinkBack,Reasoning,Share_SocTies,Direct_Activity,Interacting,Notifying,LinearGuidance,WordPicture,SpaceInterval,Motion,PastEvents,TimeInterval,ShiftingEvents,Text_Coverage,Genre,Counter,Corpus,class
1.8,2.35,0.55,2.1,1.09,0.5,2.73,1.59,0.13,1.68,1.8,5.41,6.08,1.89,0.46,2.77,0.92,0.63,34.48,10,391,1,110
1.13,3.17,0.45,0.63,2.22,0.45,2.63,0.86,0.05,0.68,2.54,2.72,9.24,2.67,1.5,0.91,1.68,1.54,35.07,5,607,2,205
0.0,2.01,0.7,1.44,2.31,1.22,2.49,2.53,0.44,0.13,2.57,2.66,4.45,0.65,0.26,1.09,1.22,0.87,27.04,2,50,1,102
0.79,3.99,0.74,0.88,1.58,0.26,4.03,1.97,0.35,0.88,3.16,5.65,5.83,1.05,0.74,1.75,1.62,1.01,36.28,2,54,1,102
0.0,2.39,0.87,0.95,0.82,1.13,3.91,0.69,0.04,0.69,1.78,7.68,11.55,2.86,1.17,3.99,0.74,0.82,42.08,14,463,1,114
0.0,0.94,0.35,0.63,0.86,0.27,1.49,0.98,0.04,0.16,2.62,5.56,7.44,1.41,1.17,2.9,1.33,0.9,29.05,6,176,1,106
3.2,6.05,0.98,1.96,1.2,0.45,4.54,2.05,0.18,0.89,2.76,5.03,4.72,0.45,0.0,0.89,1.07,0.76,37.18,7,259,1,107
0.08,1.8,0.37,0.45,0.37,1.14,2.16,1.51,0.04,0.0,2.37,1.67,3.59,0.37,0.37,1.31,1.27,0.29,19.16,9,366,1,109
0.0,1.47,0.52,0.65,0.91,0.78,1.6,1.94,0.13,0.0,2.67,2.37,4.53,1.34,0.22,2.07,1.38,0.34,22.92,8,275,1,108
0.04,1.45,0.29,1.04,1.45,0.46,1.37,2.37,0.08,0.0,2.24,4.4,6.65,1.08,0.5,2.58,1.2,0.54,27.74,1,22,1,101
0.6,3.17,2.01,1.07,0.86,0.43,2.61,1.92,0.13,0.09,2.95,4.45,5.65,0.98,0.81,1.33,1.33,0.77,31.16,3,75,1,103
0.13,2.15,2.06,2.19,1.76,0.64,2.75,3.91,0.17,0.09,2.62,3.86,1.42,0.77,0.09,1.46,0.39,0.34,26.8,8,773,2,208
0.35,2.87,0.87,0.61,1.35,0.43,2.69,1.0,0.04,0.35,1.82,5.56,7.25,2.39,1.17,3.73,1.17,1.13,34.78,10,401,1,110
2.46,2.88,0.85,0.81,1.15,0.42,2.76,1.44,0.3,0.81,2.97,6.28,6.36,1.1,0.38,1.78,1.31,0.51,34.57,14,472,1,114
0.0,3.23,0.43,1.29,0.56,0.99,2.62,2.28,0.17,0.26,3.66,3.31,3.35,0.77,0.09,1.12,1.55,1.29,26.97,7,250,1,107
0.58,4.36,0.4,1.78,2.18,0.53,4.85,4.09,0.62,0.49,3.56,4.36,1.78,0.27,0.04,0.98,0.4,0.27,31.54,4,592,2,204
1.05,1.81,0.72,0.56,0.76,1.69,1.45,0.97,0.24,1.29,1.93,10.41,7.8,2.81,0.88,3.38,0.88,0.76,39.39,10,402,1,110
0.43,3.72,1.04,1.25,1.17,1.21,3.16,1.38,0.3,0.52,2.55,6.44,6.83,1.3,0.39,3.03,0.87,0.99,36.58,14,467,1,114
0.22,3.06,1.15,1.33,1.77,0.04,3.42,1.38,0.98,2.97,2.4,1.73,6.57,2.09,1.6,0.71,1.64,1.33,34.39,5,638,2,205
1.3,2.77,0.74,1.43,1.26,0.48,3.51,1.26,0.17,1.26,2.38,7.15,7.36,2.08,0.56,2.51,1.04,1.0,38.26,14,464,1,114
0.0,2.45,0.67,2.62,1.51,0.4,2.54,2.14,0.44,0.36,2.58,2.45,3.69,0.98,0.71,3.02,2.8,0.71,30.07,5,615,2,205
0.0,3.52,0.94,1.2,1.5,0.34,3.47,1.59,0.21,0.6,3.39,3.9,4.46,1.03,0.51,1.03,1.76,0.51,29.96,9,333,1,109
0.0,3.15,0.13,0.35,0.66,0.71,2.22,0.98,0.35,0.0,2.57,2.62,4.88,1.2,0.13,1.2,1.86,0.44,23.45,9,295,1,109
0.0,1.37,0.3,0.3,0.82,0.17,1.29,1.12,0.17,0.04,2.28,2.41,6.31,1.63,0.26,1.89,1.76,0.82,22.94,9,350,1,109
0.0,3.77,0.86,1.33,1.76,0.77,2.61,3.81,0.17,0.0,2.83,4.41,3.3,0.43,0.04,1.8,3.3,0.47,31.66,6,180,1,106
0.0,1.8,0.73,0.51,0.77,0.13,1.54,1.41,0.17,0.17,3.68,2.06,6.26,0.77,0.47,1.93,1.2,0.64,24.24,5,139,1,105
0.0,2.89,0.57,3.07,1.4,0.61,2.63,2.46,0.26,0.83,3.59,2.67,1.58,0.61,0.09,1.14,1.71,0.75,26.86,9,819,2,209
0.39,1.79,0.66,0.83,1.05,0.09,1.14,0.57,0.22,0.04,2.45,4.11,3.02,3.19,0.87,3.94,1.62,1.09,27.07,1,508,2,201
0.72,3.11,0.55,2.17,1.28,0.72,1.58,2.13,0.09,0.09,2.3,7.33,5.67,1.28,0.38,3.28,1.02,0.72,34.42,7,738,2,207
0.0,2.63,0.8,2.01,1.52,0.31,2.81,4.64,0.22,0.22,3.7,3.03,4.73,0.67,0.4,1.7,1.52,0.54,31.45,6,156,1,106
0.04,3.57,0.57,1.41,1.72,0.18,2.95,2.86,0.57,2.78,3.26,2.03,7.0,0.53,0.35,1.23,1.28,0.35,32.68,6,656,2,206
0.31,1.8,0.04,1.97,1.14,0.7,2.37,1.54,0.18,0.92,1.97,3.86,12.2,2.94,0.39,3.03,0.83,1.18,37.37,10,901,2,210
0.04,3.07,2.3,1.24,0.85,0.34,2.98,2.04,0.21,0.17,2.34,4.43,5.62,0.85,0.68,2.09,1.58,0.72,31.55,3,74,1,103
0.76,3.25,0.85,0.85,1.23,0.68,3.0,1.1,0.17,1.18,2.32,7.44,6.89,2.07,0.85,2.32,1.39,1.01,37.36,14,966,2,214
0.0,1.82,0.76,0.72,0.93,0.68,1.95,1.19,0.17,0.38,2.84,2.71,8.51,2.29,0.85,2.03,1.48,1.06,30.37,5,610,2,205
0.0,2.76,0.49,0.76,1.51,0.76,2.89,1.91,0.22,0.18,2.49,3.73,4.27,0.84,0.13,1.33,1.2,0.8,26.27,8,269,1,108
0.48,2.64,1.04,1.39,0.82,0.56,2.82,3.03,0.09,0.04,2.9,5.37,5.59,1.13,0.09,2.04,1.13,1.39,32.55,7,207,1,107
3.9,1.76,0.69,0.81,0.9,0.56,1.76,1.2,0.3,1.11,2.78,5.18,10.8,1.93,1.2,1.63,0.86,1.03,38.4,14,976,2,214
0.64,3.08,0.81,1.11,1.29,0.9,2.87,1.16,0.13,1.16,2.19,8.1,5.57,1.37,0.56,3.47,1.33,0.6,36.34,12,931,2,212
0.0,1.04,0.68,0.56,0.8,0.0,2.76,1.76,0.4,0.0,2.48,3.37,3.37,0.44,0.0,1.72,0.84,0.4,20.62,8,765,2,208
0.25,2.21,0.94,0.49,0.37,0.57,2.21,1.68,0.12,0.53,3.2,4.51,5.0,0.45,0.12,1.8,1.88,0.41,26.74,7,730,2,207
0.0,2.73,0.52,0.52,0.52,0.35,2.73,0.87,0.26,0.0,1.82,2.17,4.85,1.56,1.78,2.43,1.04,0.48,24.63,9,817,2,209
1.3,3.95,1.35,1.21,1.93,0.67,3.37,3.32,0.36,1.35,2.79,3.1,4.04,0.85,0.22,1.21,1.39,0.81,33.22,9,356,1,109
1.11,2.18,0.32,2.3,0.91,0.32,1.75,1.27,0.2,1.55,1.67,9.4,7.38,2.7,0.83,3.57,0.6,0.91,38.97,13,957,2,213
0.0,2.51,0.74,2.1,0.99,0.25,2.6,1.61,0.08,0.12,2.51,3.21,7.29,1.07,0.21,0.74,1.36,0.37,27.76,3,88,1,103
0.0,2.95,0.79,0.7,2.16,0.92,2.95,2.33,0.22,0.22,2.6,2.11,2.55,0.88,0.13,0.79,1.76,0.75,24.81,7,701,2,207
0.54,2.08,0.58,0.67,1.62,1.12,2.41,1.04,0.29,0.46,2.33,7.99,4.24,1.04,0.37,3.16,1.66,1.75,33.35,7,256,1,107
0.22,3.56,1.04,2.34,1.43,0.61,3.56,3.52,0.13,0.48,2.52,9.24,3.69,0.3,0.09,2.99,1.0,0.69,37.41,7,694,2,207
0.4,2.92,0.45,2.11,1.44,1.03,3.01,3.64,0.4,0.22,2.47,5.34,3.82,0.81,0.18,1.17,1.35,0.67,31.43,4,98,1,104
1.01,2.68,1.17,0.88,1.93,1.22,2.18,1.17,0.42,1.55,1.47,9.48,5.83,2.56,0.8,2.81,1.05,1.51,39.72,14,978,2,214
1.27,2.63,1.44,1.15,1.7,0.3,2.46,3.35,0.72,2.37,3.05,5.17,4.71,1.15,0.42,1.53,1.27,0.55,35.24,4,597,2,204
0.55,2.9,1.26,1.68,0.59,0.42,2.15,1.81,0.04,0.29,2.52,3.87,5.47,1.35,0.59,0.93,1.47,0.88,28.77,15,499,1,115
0.57,3.0,0.84,1.46,2.43,0.31,2.56,5.51,0.66,0.31,1.94,3.18,2.34,0.93,0.18,0.93,1.72,0.75,29.62,7,224,1,107
1.12,2.78,1.7,1.2,0.83,0.25,3.36,2.4,0.25,0.75,2.74,3.73,5.51,0.54,0.17,0.83,0.79,0.37,29.32,7,696,2,207
0.71,2.41,0.76,1.34,1.43,0.54,3.03,3.17,0.22,0.85,2.68,4.51,2.86,0.85,0.27,1.96,1.07,0.62,29.28,7,210,1,107
0.57,3.66,1.22,1.05,1.48,0.22,2.7,3.57,0.39,0.52,4.01,3.88,3.18,0.35,0.35,0.57,1.48,0.52,29.72,7,232,1,107
0.0,1.33,0.6,0.77,0.77,0.3,1.94,1.64,0.04,0.04,1.33,2.97,10.67,1.33,0.56,3.74,1.2,0.77,30.0,6,676,2,206
0.04,2.51,1.36,1.06,1.5,0.31,2.46,2.11,0.35,0.62,3.39,3.52,7.87,0.7,0.84,1.54,1.06,0.97,32.21,2,57,1,102
1.61,2.03,0.54,1.28,0.99,0.33,3.22,2.36,0.25,1.94,2.56,3.6,4.09,0.41,0.04,1.61,1.49,0.83,29.18,6,663,2,206
0.04,2.85,0.22,1.21,1.38,0.3,1.99,0.91,0.26,0.13,3.11,3.28,7.77,1.25,0.69,1.64,0.99,0.78,28.8,6,687,2,206
0.41,2.73,0.95,1.28,0.87,0.91,3.23,1.28,0.21,0.54,1.91,9.49,7.08,2.44,0.41,3.44,1.37,0.87,39.42,10,375,1,110
0.0,1.66,0.12,0.24,1.01,0.0,2.79,0.73,1.98,0.4,2.43,2.59,6.39,1.98,1.46,1.66,0.93,0.93,27.3,5,112,1,105
0.5,2.61,0.41,1.58,1.67,0.32,2.12,4.06,0.32,0.72,3.52,3.65,3.88,0.72,0.27,1.13,1.31,0.72,29.51,2,62,1,102
1.38,3.31,0.58,1.19,0.96,0.65,2.58,1.46,0.27,3.31,1.96,8.88,6.0,1.65,0.38,2.62,0.73,0.96,38.87,11,908,2,211
0.08,1.33,0.92,1.37,1.29,0.25,1.75,1.83,0.37,0.33,2.54,3.08,5.79,1.29,0.37,0.62,0.75,0.5,24.46,3,587,2,203
3.01,3.49,0.88,0.88,1.48,0.4,2.44,1.04,0.56,2.57,2.0,9.3,4.57,1.72,0.36,2.81,1.2,1.2,39.91,14,989,2,214
0.0,1.86,0.52,1.39,1.26,0.65,1.21,2.9,0.22,0.09,2.3,4.07,4.07,0.91,0.69,3.73,2.25,1.0,29.12,9,824,2,209
0.17,1.94,0.72,0.59,0.68,0.59,1.82,2.41,0.38,0.25,3.0,5.53,7.56,0.55,0.21,1.31,2.03,0.34,30.08,9,858,2,209
0.53,2.42,0.79,0.88,0.92,0.4,1.62,0.66,0.0,0.18,2.72,3.12,4.57,2.37,0.83,2.9,0.57,0.83,26.31,1,13,1,101
0.9,3.41,0.66,4.4,0.99,0.41,3.46,2.47,0.29,1.07,2.26,4.07,3.04,0.74,0.29,1.11,2.22,0.7,32.49,6,644,2,206
0.49,2.84,0.82,0.78,1.2,0.25,3.92,1.81,0.25,0.04,2.84,5.98,7.01,0.7,0.0,1.03,1.32,0.37,31.65,7,715,2,207
0.94,2.83,0.98,1.39,0.9,0.78,2.62,2.91,0.25,1.89,2.75,4.63,4.1,0.66,0.16,1.72,0.98,0.82,31.31,7,206,1,107
1.78,2.38,0.89,0.85,0.93,0.61,2.71,1.09,0.12,2.02,2.18,9.78,6.3,2.42,0.57,2.99,0.61,0.85,39.08,10,879,2,210
0.0,2.45,0.67,0.8,2.05,0.49,3.12,2.09,0.4,4.36,3.47,1.78,3.03,0.89,0.13,1.02,3.07,0.45,30.27,5,133,1,105
1.04,2.52,0.56,2.0,1.74,0.35,2.91,2.35,0.3,0.78,2.91,3.08,4.39,0.83,0.26,1.43,1.04,0.35,28.84,2,558,2,202
0.21,3.02,0.66,1.16,1.12,0.79,2.73,1.03,0.25,0.87,2.69,9.67,8.06,2.11,1.12,1.82,0.54,0.87,38.72,11,917,2,211
0.09,2.4,1.76,1.46,1.2,0.73,2.53,2.23,0.47,0.17,2.92,4.59,2.96,1.12,0.56,1.72,1.03,1.37,29.31,1,534,2,201
2.1,2.42,0.45,0.95,0.82,0.37,1.69,0.62,0.33,1.07,1.64,8.55,8.59,2.22,0.49,3.08,0.62,0.82,36.83,10,889,2,210
1.85,2.79,0.63,1.02,0.55,0.47,1.77,1.1,0.04,2.44,1.81,8.48,7.07,2.28,0.55,3.42,1.02,0.94,38.23,13,937,2,213
0.59,2.37,1.11,0.95,1.14,0.47,1.3,1.22,0.36,1.5,1.97,8.69,6.08,2.21,0.95,3.55,1.22,0.47,36.15,12,928,2,212
0.0,1.47,0.08,1.77,0.25,0.51,1.39,1.89,0.08,0.0,1.68,1.98,6.99,0.97,0.04,3.92,1.81,0.55,25.38,9,309,1,109
0.0,3.69,0.58,1.17,0.99,0.22,4.36,2.56,0.27,0.67,3.42,3.46,3.46,0.58,0.18,1.53,1.39,0.31,28.84,9,351,1,109
0.55,2.9,0.51,1.28,0.81,0.43,2.69,3.59,0.3,0.6,3.76,3.97,2.6,0.94,0.13,2.35,1.32,0.6,29.33,4,603,2,204
0.21,1.88,1.5,0.79,0.63,0.46,2.59,1.75,0.13,0.08,2.46,5.18,4.47,0.54,0.25,2.72,1.75,1.13,28.52,7,714,2,207
0.04,1.77,0.44,0.66,1.24,0.53,1.24,1.33,0.09,0.27,2.22,2.84,9.22,2.3,1.33,2.44,1.77,1.24,30.97,6,146,1,106
0.0,3.67,0.86,0.65,0.86,0.43,3.2,1.77,0.3,0.6,2.63,4.1,4.84,0.91,0.43,2.25,1.47,0.82,29.79,3,73,1,103
0.53,2.63,0.28,0.12,0.81,0.0,2.43,1.21,0.28,0.77,4.37,3.56,0.85,0.77,0.16,1.82,0.65,0.2,21.44,9,804,2,209
0.04,2.79,1.59,1.05,0.47,0.35,2.17,2.21,0.31,0.19,2.64,4.15,5.04,0.74,0.89,1.71,1.74,0.47,28.55,3,85,1,103
0.26,3.3,0.39,0.99,0.69,0.13,3.34,3.04,0.13,0.26,2.44,2.74,5.14,1.11,0.21,2.01,0.81,0.56,27.55,6,673,2,206
1.04,2.4,0.29,1.41,1.2,0.7,2.03,1.24,0.12,1.12,2.03,9.44,6.92,1.9,0.83,2.57,0.91,1.16,37.31,10,396,1,110
0.0,2.76,1.14,1.01,1.18,0.48,2.76,2.93,0.09,0.0,3.2,2.32,2.71,0.53,0.26,2.67,4.51,0.83,29.38,9,331,1,109
0.0,2.87,0.73,0.9,0.94,0.38,4.02,2.22,0.21,0.73,2.99,3.93,3.42,1.24,0.26,1.54,0.77,0.68,27.83,7,219,1,107
1.72,3.17,0.74,1.25,0.74,0.16,1.68,1.41,0.47,1.33,1.88,9.03,7.16,1.53,0.63,3.44,0.74,0.51,37.59,13,946,2,213
0.09,2.07,1.23,1.28,1.54,0.57,3.04,2.24,0.31,0.84,2.99,2.9,5.54,1.36,0.31,1.06,2.55,0.53,30.45,5,136,1,105
0.17,3.77,0.55,1.02,1.48,0.47,2.79,1.27,0.25,0.55,2.88,6.22,4.7,0.64,0.64,1.06,1.52,0.97,30.95,1,541,2,201
0.39,3.07,0.82,1.73,1.73,0.47,3.41,2.37,0.39,0.26,2.68,5.61,4.36,0.73,0.26,2.03,1.86,0.47,32.64,2,568,2,202
0.14,4.32,0.68,1.62,1.04,0.41,4.14,4.73,0.27,0.23,3.42,3.47,4.01,0.54,0.14,0.81,1.26,0.45,31.68,1,35,1,101
2.79,2.67,0.49,1.21,0.77,0.36,2.27,0.93,0.61,1.78,2.06,7.53,7.77,2.11,0.65,2.63,1.17,0.93,38.73,11,423,1,111
2.17,3.71,0.87,1.42,1.18,1.18,3.0,0.95,0.28,2.21,1.74,8.95,5.21,2.09,0.35,3.51,0.87,0.75,40.44,14,476,1,114
0.0,1.49,0.38,0.26,0.94,0.38,1.75,1.02,0.09,0.17,2.73,2.6,5.34,1.37,0.3,1.45,1.49,0.68,22.44,1,26,1,101
1.19,2.65,0.4,3.44,1.85,0.53,3.57,4.32,0.84,0.49,2.74,3.35,3.93,1.46,0.13,0.84,1.41,0.71,33.85,8,794,2,208
0.38,1.73,0.97,0.84,1.27,0.59,2.4,1.9,0.21,0.25,2.99,4.98,4.01,1.22,0.72,2.83,1.27,1.35,29.91,1,15,1,101
0.0,2.63,0.4,0.58,2.0,0.22,2.09,2.05,0.8,1.43,2.72,1.47,6.24,1.34,2.32,1.92,0.94,0.76,29.91,5,122,1,105
0.3,3.33,1.0,2.21,1.47,0.74,3.25,3.98,0.3,0.26,2.82,5.02,3.64,0.74,0.74,1.08,0.95,0.39,32.22,3,87,1,103
0.04,2.83,0.74,1.83,1.48,0.83,3.09,2.44,0.31,0.09,2.92,3.7,5.4,1.53,0.39,0.87,1.26,0.83,30.58,2,49,1,102
0.22,6.11,0.87,2.34,1.47,0.04,4.5,3.77,0.48,0.17,2.99,4.76,1.13,0.87,0.35,0.87,0.78,0.69,32.41,4,99,1,104
0.04,2.73,0.26,0.57,0.97,0.53,2.51,2.69,0.22,0.04,2.33,3.26,2.64,0.88,0.22,2.07,2.64,0.44,25.04,6,662,2,206
1.28,2.52,0.7,1.16,1.07,0.99,3.14,0.66,0.37,1.69,2.15,9.17,5.79,2.19,0.7,3.47,0.79,1.57,39.41,13,438,1,113
0.38,2.43,1.15,1.36,2.0,0.68,1.96,2.13,0.26,0.09,2.09,4.05,4.18,1.28,0.6,1.32,0.98,1.11,28.05,2,55,1,102
0.0,1.59,0.75,0.7,1.54,0.44,2.07,2.73,0.35,0.13,3.26,3.17,8.33,0.88,1.63,1.54,1.81,0.4,31.32,6,667,2,206
0.0,2.92,0.8,0.63,3.51,0.17,3.3,3.17,1.31,0.08,3.09,3.3,1.27,0.55,0.04,1.35,2.07,1.1,28.66,8,266,1,108
0.13,2.93,0.81,1.53,0.64,0.51,2.59,1.27,0.17,0.21,2.12,3.82,8.66,1.1,0.59,1.7,1.61,0.93,31.32,2,68,1,102
0.58,2.74,0.54,1.62,1.25,0.75,2.57,1.87,0.29,0.66,1.87,6.64,5.56,0.87,0.5,2.62,1.12,0.54,32.59,7,234,1,107
0.33,1.19,0.95,0.25,1.36,0.25,0.62,1.15,0.37,0.29,2.18,2.6,6.88,0.87,0.49,1.24,1.36,0.91,23.29,1,17,1,101
0.56,4.71,0.77,1.45,1.2,0.94,4.66,2.35,0.21,1.54,2.52,6.33,2.52,1.11,0.34,2.31,1.07,0.73,35.32,12,430,1,112
1.04,2.13,0.8,1.12,0.76,0.48,2.57,1.16,0.24,2.09,1.2,9.43,8.99,2.45,1.16,3.37,0.96,0.72,40.67,14,478,1,114
0.3,2.24,1.16,1.42,0.86,2.45,2.15,1.16,0.09,0.39,2.15,6.76,7.71,1.55,0.39,2.67,1.33,1.59,36.37,14,986,2,214
0.33,3.43,1.38,2.34,1.09,0.63,3.68,4.01,0.25,0.54,2.55,6.52,3.68,0.75,0.21,2.34,1.04,0.46,35.23,4,93,1,104
0.3,2.58,1.2,1.81,1.16,0.43,2.28,2.75,0.39,0.43,2.15,4.64,6.1,0.73,0.56,1.76,1.12,0.77,31.16,2,548,2,202
0.56,2.84,0.6,1.55,1.68,0.56,2.97,2.23,0.3,0.95,1.8,4.56,6.66,0.77,0.47,2.02,1.8,0.69,33.01,2,550,2,202
0.56,2.88,0.99,2.8,1.64,0.3,2.93,3.79,0.04,0.43,2.71,5.34,5.85,0.65,0.17,0.9,1.51,0.9,34.39,7,705,2,207
0.9,1.65,0.78,0.75,0.98,0.35,1.61,1.22,0.2,0.86,1.53,9.06,10.28,3.26,1.37,2.0,1.22,1.02,39.04,14,980,2,214
0.04,3.21,0.91,2.08,1.73,0.56,3.9,2.99,0.3,0.43,2.6,3.25,5.37,0.52,0.43,2.08,1.6,0.56,32.56,2,556,2,202
4.72,2.54,1.56,0.94,1.11,0.76,2.05,2.14,0.04,1.07,1.74,3.43,6.51,1.83,0.53,2.27,1.25,1.29,35.78,10,403,1,110
2.3,2.66,0.66,1.24,1.28,0.4,2.52,4.03,0.35,0.31,3.32,4.47,3.67,0.93,0.18,1.33,1.02,0.75,31.42,7,244,1,107
0.09,1.88,0.55,0.3,1.32,0.0,1.07,4.69,0.04,0.0,2.22,3.84,1.54,1.41,0.13,1.75,0.38,0.3,21.51,8,779,2,208
0.3,1.87,1.04,1.17,1.35,1.61,2.3,1.3,0.26,0.17,2.74,4.43,8.61,2.3,0.57,2.43,1.52,1.22,35.19,7,230,1,107
0.04,2.45,0.21,1.54,0.6,0.9,2.23,1.07,0.34,0.34,1.8,6.18,8.84,3.6,2.27,4.93,1.37,1.12,39.83,11,422,1,111
0.56,3.61,0.61,1.61,2.13,0.39,3.52,3.82,0.78,0.35,3.04,2.87,2.78,0.7,0.22,1.13,1.35,0.65,30.12,7,211,1,107
1.55,2.22,0.55,1.43,1.3,0.42,2.39,1.72,0.17,0.59,1.76,6.5,7.3,0.55,0.42,2.06,0.88,1.01,32.82,1,516,2,201
0.0,2.13,0.17,2.26,0.52,0.61,3.26,1.95,0.35,0.09,2.04,1.78,3.52,0.48,0.04,1.26,1.35,0.87,22.68,9,800,2,209
0.0,2.27,0.34,1.54,0.77,0.47,3.05,3.9,0.21,0.0,3.17,3.22,4.63,1.42,0.43,1.37,1.72,0.34,28.85,9,836,2,209
0.04,1.37,0.58,0.25,1.91,0.29,1.29,1.66,0.17,0.33,3.12,2.66,7.15,1.08,0.58,0.79,1.16,0.75,25.18,1,31,1,101
0.72,1.83,0.93,0.42,0.93,0.68,2.51,2.0,0.04,0.47,2.8,6.84,5.74,0.59,0.25,3.14,1.44,0.72,32.05,7,223,1,107
0.87,1.48,0.87,1.61,1.11,0.45,1.98,1.44,0.33,1.03,1.69,6.43,7.46,3.09,1.03,3.59,0.99,0.66,36.11,13,959,2,213
0.04,3.15,1.4,2.27,1.57,0.48,1.75,3.15,0.26,0.13,1.97,6.52,6.3,1.27,0.35,1.71,0.83,0.83,33.98,7,727,2,207
0.62,3.1,1.28,1.65,1.03,0.66,1.82,1.82,0.17,0.25,2.03,7.53,6.66,1.9,0.45,3.18,1.2,0.7,36.05,13,954,2,213
0.13,3.8,0.67,0.98,1.21,0.36,4.03,2.37,0.31,0.04,2.28,3.63,4.34,0.22,0.13,1.97,1.43,0.18,28.08,9,361,1,109
0.13,2.58,0.85,0.72,0.89,0.21,2.41,1.4,0.17,0.08,2.45,4.36,7.78,2.62,0.85,1.44,1.14,0.76,30.84,7,194,1,107
0.09,2.44,0.53,1.11,1.69,0.36,3.68,3.15,0.4,0.04,3.64,2.84,0.71,0.67,0.27,1.33,0.75,0.98,24.68,9,335,1,109
0.17,2.16,0.42,1.82,1.1,0.85,1.82,1.31,0.0,0.17,2.92,4.15,6.64,1.82,0.47,2.5,0.93,1.02,30.27,6,658,2,206
0.66,2.74,0.54,2.82,1.33,0.58,1.83,0.75,0.29,1.74,1.49,7.68,6.35,3.07,1.54,4.4,0.79,0.79,39.39,13,445,1,113
0.0,1.82,0.84,0.93,1.15,0.44,1.37,2.66,0.31,0.13,2.26,3.32,5.76,1.02,0.4,2.79,1.6,0.44,27.24,6,652,2,206
0.04,4.53,0.26,1.21,1.12,0.56,3.88,3.41,0.69,0.43,3.66,5.09,2.37,0.43,0.0,1.08,1.03,0.6,30.39,4,90,1,104
0.34,3.86,0.17,1.53,1.23,1.91,3.69,1.19,0.38,0.89,1.82,6.69,6.44,1.95,0.68,3.14,0.89,0.97,37.77,11,412,1,111
3.01,3.96,0.87,2.15,1.4,1.03,3.26,1.07,0.17,1.36,1.73,7.26,4.5,1.2,0.41,2.64,1.2,0.41,37.63,14,480,1,114
0.0,3.75,0.18,1.46,1.19,0.53,2.96,3.44,0.13,0.04,3.35,1.28,3.18,0.57,0.0,1.32,1.68,0.44,25.5,9,871,2,209
0.22,2.97,0.47,0.77,1.16,1.16,2.11,1.81,0.04,0.39,3.18,5.16,4.82,1.03,0.34,1.51,1.81,0.6,29.55,1,542,2,201
