,time_1,accuracy_1,precision_1,recall_1,f1score_1,model_1,error_2,time_2,error_3,time_3,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1score_mean,f1score_std,error_1,accuracy_2,precision_2,recall_2,f1score_2,model_2,accuracy_3,precision_3,recall_3,f1score_3,model_3
AP_Breast_Lung,1980.0012562274933,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0014667510986,A pipeline has not yet been optimized. Please call fit() first.,1980.00137758255,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,
AirlinesCodrnaAdult,1980.0013573169708,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0013966560364,A pipeline has not yet been optimized. Please call fit() first.,1980.0013542175293,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,
MagicTelescope,1823.6712849140167,0.8609884332281809,0.8273145108338805,0.7599517490952955,0.7922037095253065,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,1836.5467545986176,,1940.3218758106232,0.8619698562916228,0.0012422043565839189,0.8258585621729283,0.0010380531877359936,0.7655810213108163,0.005600477795409802,0.7945644434048796,0.0026443113866827968,,0.861198738170347,0.8252933507170795,0.7635705669481303,0.7932330827067668,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.8637223974763407,0.824967824967825,0.773220747889023,0.7982565379825655,"Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=None, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, m...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
arrhythmia,1980.002959728241,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0053822994232,A pipeline has not yet been optimized. Please call fit() first.,1980.003664970398,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,
audiology,1800.513691186905,0.9473684210526315,0.9444444444444444,0.8947368421052632,0.918918918918919,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f25529442f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('fe...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",A pipeline has not yet been optimized. Please call fit() first.,1980.0058753490448,,1800.5259993076324,0.9649122807017543,0.017543859649122806,0.9722222222222222,0.02777777777777779,0.9210526315789473,0.02631578947368418,0.945945945945946,0.02702702702702703,,,,,,,0.9824561403508771,1.0,0.9473684210526315,0.972972972972973,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f1bd42862f0>, inv_kw_args=None,
          inverse_func=None, k...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
dataset_31_credit-g,1802.2552299499512,0.724,0.7801047120418848,0.8465909090909091,0.8119891008174386,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at ...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,1801.710621356964,,1802.0530200004578,0.7306666666666667,0.018571184369578844,0.7637572192940659,0.02959057775132038,0.8996212121212123,0.04670010608309831,0.8245708926844036,0.01034752807652637,,0.756,0.7889447236180904,0.8920454545454546,0.8373333333333333,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.712,0.7222222222222222,0.9602272727272727,0.824390243902439,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator-1', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureuni...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
electricity-normalized,1834.1762113571167,0.8992761299435028,0.9043709784779232,0.8516506477225241,0.8772194124609922,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fe55cc032f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",A pipeline has not yet been optimized. Please call fit() first.,1980.001140832901,A pipeline has not yet been optimized. Please call fit() first.,1980.0012781620026,0.8992761299435028,0.0,0.9043709784779232,0.0,0.8516506477225241,0.0,0.8772194124609922,0.0,,,,,,,,,,,
gina_agnostic,1862.8491594791412,0.8961937716262975,0.9,0.8780487804878049,0.888888888888889,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f6f825b72f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,1811.8044843673706,,1819.3088884353638,0.9046520569011918,0.006054600441377782,0.9140896140896141,0.01008831775511699,0.8813008130081301,0.004599068495522264,0.8973715651135006,0.0061410261772503714,,0.9100346020761245,0.9191919191919192,0.8878048780487805,0.903225806451613,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fd6ec5ad2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9077277970011534,0.9230769230769231,0.8780487804878049,0.9,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f7f8b62c2f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
hiva_agnostic,1892.5839874744415,0.9640831758034026,0.5789473684210527,0.2682926829268293,0.36666666666666664,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))), ('stackingest...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",,1819.3374860286713,,1885.5686593055725,0.9647132955261499,0.0016064963810941504,0.5929824561403508,0.04201378952571244,0.28455284552845533,0.022995342477611296,0.38451730418943536,0.029596889353498867,,0.9669187145557656,0.65,0.3170731707317073,0.42622950819672134,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer-1', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f08932db2f0>, inv_kw_args=None,
          inverse_func=None,...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])",0.9631379962192816,0.55,0.2682926829268293,0.36065573770491804,"Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degree=3, gamma='auto', kernel='rbf',
  max_iter=-1, probability=False, random_state=None, shrinking=True,
  tol=0.001, verbose=False))), ('stackingest...      min_weight_fraction_leaf=0.0, presort=False, random_state=None,
            splitter='best'))])"
openml_phpJNxH0q,1800.962076663971,0.96,0.890625,1.0,0.9421487603305785,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degr...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,1801.3907153606415,,1801.3152875900269,0.9695238095238095,0.00971241812112913,0.9195525956284153,0.02426355319145514,0.9941520467836257,0.00827025475071988,0.9552200923541448,0.013831988143915168,,0.9828571428571429,0.95,1.0,0.9743589743589743,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator-1', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', de...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",0.9657142857142857,0.9180327868852459,0.9824561403508771,0.9491525423728813,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('stackingestimator', StackingEstimator(estimator=Pipeline(memory=None,
     steps=[('stackingestimator', StackingEstimator(estimator=SVC(C=1.0, cache_size=200, class_weight=None, coef0=0.0,
  decision_function_shape='ovr', degr...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
phprAeXmK,1980.0013875961304,,,,,,A pipeline has not yet been optimized. Please call fit() first.,1980.0013127326965,A pipeline has not yet been optimized. Please call fit() first.,1980.0014040470123,,,,,,,,,A pipeline has not yet been optimized. Please call fit() first.,,,,,,,,,,
vowel,1800.6970920562744,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fc266c232f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",,1801.0813791751862,,1801.0347678661346,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7f320fc832f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])",1.0,1.0,1.0,1.0,"Pipeline(memory=None,
     steps=[('featureunion', FeatureUnion(n_jobs=1,
       transformer_list=[('functiontransformer', FunctionTransformer(accept_sparse=False,
          func=<function copy at 0x7fae32bb62f0>, inv_kw_args=None,
          inverse_func=None, kw_args=None, pass_y='deprecated',
          validate=True)), ('st...n_jobs=1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False))])"
